LOCATION,2014,2015,2016,2017,2018,2019,2020
Afghanistan,50,50,50,50,50,50,50
Albania,16.7,16.7,16.7,15,15,15,15
Algeria,26,26,26,26,26,26,26
Angola,8,8,8,27,8,8,8
Anguilla,5,5,5,5,5,5,5
Antigua and Barbuda,6,6,6,6,6,7.5,7.75
Argentina,27,27,27,27,26.7,26.7,20.4
Armenia,35,35,35,0,0,0,0
Aruba,10,10.5,10.5,10.5,11,11,11
Austria,21.83,21.63,21.63,21.48,21.48,21.38,21.38
Bahamas,5.9,5.9,5.9,5.9,5.9,5.9,5.9
Bangladesh,0,0,0,0,0,0,0
Barbados,11.25,11.25,11.25,11.25,11.25,12.75,12.75
Belarus,34,34,34,34,34,34,34
Belgium,35,35,35,32.5,27.5,27.5,27.5
Bermuda,,,,0,0,0,0
Bosnia and Herzegovina,10.5,10.5,10.5,11,11,10.5,10.5
Botswana,0,0,0,0,0,0,0
Brazil,31.8,29,20,29,29,29,29
Brunei Darussalam,8.5,8.5,8.5,8.5,8.5,8.5,8.5
Bulgaria,18.1,18.1,18.1,19.06,19.02,19.02,19.02
Cambodia,,,,,3.4,3.4,3.4
Canada,7.51,7.58,7.58,7.23,7.27,7.37,7.37
Cayman Islands,0,0,0,0,0,0,0
Chile,,,4.5,4.5,5,5,5
China,35,35,35,33.9,32.9,32,28.52
Colombia,20.5,20.5,20.5,20.5,21,21,21
Congo (Democratic Republic of the),5,9,9,9,9,9,9
Costa Rica,26.17,26.17,26.33,26.33,26.33,26.33,26.5
Croatia,17.2,17.2,17.2,17.2,17.2,16.5,16.5
Curacao,9.5,9.5,9.5,9.5,10,10,10
Cyprus,11.5,11.5,11.5,7.8,7.8,8.3,8.3
Czech Republic,34,34,34,34,34,34,33.8
Denmark,,,,0,0,0,0
Dominica,,,,,,6.75,7
Dominican Republic,15.37,16.25,14.19,14.29,14,14,15.5
Ecuador,11.15,11.15,11.15,12.15,12.15,12.15,12.15
Egypt,24.8,24.7,24.7,26,26,26,26
El Salvador,7.5,7.5,7.5,7.5,7,7,7.5
Estonia,34,33.8,33.8,33.8,33.8,33.8,33.8
Ethiopia,,,,11,11,11,11
Fiji,8,8,8,8,8,10,10
Finland,23.74,23.23,24.99,23.2,22.08,20.17,20.76
France,,45,43.4,45,45,45,45
Georgia,,,,,,,2
Germany,19.58,19.33,19.33,19.43,19.38,19.83,19.88
Ghana,13,13,13,13,13,13,13
Gibraltar,20,20,20,20,20,20,20
Greece,27.46,24.56,25.06,24.06,25.06,25.06,24.81
Grenada,,,,,,5,5
Guatemala,12.67,12.67,12.67,12.67,12.67,12.67,12.67
Guernsey,6.5,6.5,6.5,6.6,6.6,6.6,6.6
Honduras,7.2,7.2,8.5,10.66,10.2,10.66,10.66
Hong Kong SAR,0,0,0,0,0,0,0
Hungary,28.5,28.5,28.5,23.5,21,21,21
Iceland,7.59,7.49,7.35,6.84,6.85,6.6,6.35
India,12.5,12.5,12.5,12.5,12,12,12
Indonesia,5.74,5.74,5.74,5.74,5.74,5.74,5.74
Iraq,,,12,12,12,12,12
Ireland,10.75,10.75,10.75,10.75,10.85,10.95,11.05
Isle of Man,12.8,12.8,12.8,12.8,12.8,12.8,12.8
Israel,5.9,7.25,7.5,7.5,8,7.6,7.6
Italy,30,30,30,30,30,30,30
Jamaica,12,12,12,12,12,12,12.25
Japan,14.52,14.7,14.59,14.75,14.91,15.49,15.49
Jersey,,,6.5,6.5,7,6.5,6.5
Jordan,12.25,12.25,12.25,15.25,14.25,14.25,14.25
Kazakhstan,11,11,11,0,3.5,3.5,3.5
Kenya,0,0,0,0,0,0,0
Korea, Republic of,8.99,9.28,9.28,9.28,9.35,9.65,9.96
Kuwait,11.5,11.5,11.5,11.5,11.5,11.5,11.5
Latvia,24.09,23.59,23.59,23.59,24.09,24.09,24.09
Lebanon,21.5,21.5,21.5,21.5,21.5,22.5,22.5
Lithuania,30.98,30.98,30.98,30.98,31.18,1.77,1.77
Luxembourg,14.69,15.3,15.2,15.2,15.01,15.15,14.99
Macau,0,0,0,0,0,0,0
Malawi,0,0,0,0,0,0,0
Malaysia,12,12,12,12,12,12,12
Malta,10,10,10,10,10,10,10
Mauritania,,,,20,5,5,5
Mauritius,6,6,6,6,6,6,6
Mexico,31.43,31.64,51.15,51.15,51.15,51.15,51.15
Moldova,27,27,27,27.5,27.5,22.5,22.5
Monaco,,,,27.5,27.27,27.27,27.27
Mongolia,13,13,13,13,14,14.5,14.5
Montenegro,9.8,9.8,9.8,9.8,10.3,10.3,8.3
Morocco,20.1,20.48,21.09,21.09,21.09,21.09,21.09
Mozambique,4,4,4,4,4,4,4
Myanmar,2.5,2.5,3,3,3,3,3
Namibia,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Netherlands,18.81,18.08,18.47,18.47,19,19.8,23.19
Netherlands Antilles,7.5,7.5,7.5,16.1,16,16,16
Nicaragua,17,18,18,19,19,22.5,22.5
Nigeria,,,,,10,10,10
Norway,14.1,14.1,14.1,14.1,14.1,14.1,14.1
Oman,,,,,,11.5,11.5
Panama,12,12,12,12.25,12.25,12.25,12.25
Peru,9,9,13,9,9,9,9
Philippines,7.07,7.37,7.37,7.37,7.37,7.37,8
Poland,20.48,20.74,20.61,20.61,21,21,22.14
Portugal,23.75,23.75,23.75,23.75,23.75,23.75,23.75
Puerto Rico,7.65,7.65,7.65,7.65,8,8,8
Qatar,,0,0,0,0,0,0
Romania,28.45,23.45,23.45,23.45,2.25,2.25,2.25
Russia,24.5,32.6,32.6,47.5,30,30,30
Saint Kitts and Nevis,,,,,,6,6
Saint Lucia,,,,,,5,5
Saint Vincent and the Grenadines,,,,,,5.5,5.5
Samoa,5,5,5,5,5,5,5
Saudi Arabia,,,,,,,12
Senegal,12,12,12,24,11,11,11
Serbia,17.9,17.9,17.9,17.9,17.9,17.15,16.65
Sierra Leone,10,10,10,10,10,10,10
Singapore,16,17,17,17,17,17,17
Slovakia,35.2,35.2,35.2,35.2,35.2,35.2,35.2
Slovenia,16.1,16.1,16.1,16.1,16.1,16.1,16.1
South Africa,0,0,0,0,0,0,0
Spain,29.9,29.9,29.9,29.9,29.9,29.9,29.9
Sri Lanka,15,15,15,12,12,12,12
St Maarten,,,,7.5,8,8,8
Sudan,17,17,17,17,17,17,17
Suriname,,,,9,9,9,9
Swaziland,,,,,0,0,0
Sweden,31.42,31.42,31.42,31.42,31.42,31.42,31.42
Switzerland,6.25,6.25,6.23,6.23,6,6,6
Syria,17.1,17.1,17.1,17.1,17.1,17.1,17.1
Taiwan,2.97,2.97,2.97,6.64,7,3.61,3.61
Tanzania,10,10,10,10,10,10,10
Thailand,4,5,5,5,5,5,5
Trinidad and Tobago,7.6,7.8,7.8,7.8,7.8,7.8,8.8
Tunisia,16.57,16.57,16.57,16.57,16.57,16.57,16.57
Turkey,21.5,21.5,21.5,23,22.5,22.5,22.5
Uganda,10,10,10,10,10,10,10
Ukraine,49.7,49.7,22,22,0,0,22
United Arab Emirates,,,,0,0,0,0
United Kingdom,13.8,13.8,13.8,13.8,13.8,13.8,13.8
United States,7.65,7.65,7.65,7.65,7.65,7.65,7.65
Uruguay,12.63,12.63,12.63,12.63,12.63,12.63,12.63
Venezuela,13,13,13,12,11,11,11
Vietnam,17,18,22,21.5,21.5,21.5,21.5
Yemen,9,9,9,9,9,9,9
Zambia,5,5,5,5,5,5,5
Zimbabwe,3,3,3,3,3,3,3.5
